locale	concept	prerequisite
arb-Arab-ZZ		؛ ؛ 
cmn-Hans-CN	均功定理、位力定理	；动能；势能、位能
cmn-Latn-CN	jūngōng dìnglǐ, wèilì dìnglǐ	dòngnéng; ; shìnéng, wèìnéng
dan-Latn-DK		; ; 
deu-Latn-DE	Virialsatz [m]	; Bewegungsenergie, kinetische Energie; Lageenergie, potentielle Energie, potenzielle Energie
eng-Latn-US	virial theorem	kinetic energy; particle; potential energy
fin-Latn-FI		; ; 
fra-Latn-FR	théorème du viriel	; énergie cinétique; énergie potentielle
heb-Hebr-IL		; ; 
hin-Deva-IN		; ; 
ita-Latn-IT		; ; 
jpn-Hrkt-JP	ビリアルていり	うんどうエネルギー; ; いちエネルギー
jpn-Jpan-JP	ビリアル定理	；位置エネルギー；運動エネルギー
kor-Hang-KR		; ; 
kor-Kore-KR		; ; 
nld-Latn-NL		; ; 
nob-Latn-NO		; ; 
pes-Aran-IR		؛ ؛ 
por-Latn-PT		; ; 
rus-Cyrl-RU	вириа́л	; кинети́ческая эне́ргия; потенциа́льная эне́ргия
spa-Latn-ES		; ; 
swe-Latn-SE		; ; 
tur-Latn-TR		; ; 
zxx-Zmth-ZZ		
