locale	concept	prerequisite
arb-Arab-ZZ		؛ 
cmn-Hans-CN	最小公分母	长除法；分母
cmn-Latn-CN	zuìxiǎo gōngfēnmǔ	fēnmǔ; chángchúfǎ
dan-Latn-DK		; 
deu-Latn-DE	Generalnenner, Hauptnenner	Nenner; Standardmethode der schriftlichen Division
eng-Latn-US	least common denominator, lowest common denominator	denominator; long division
fin-Latn-FI		; 
fra-Latn-FR		division posée; dénominateur
heb-Hebr-IL		; 
hin-Deva-IN		; 
ita-Latn-IT		; 
jpn-Hrkt-JP		ぶんぼ; ちょうじょほう
jpn-Jpan-JP		長除法；分母
kor-Hang-KR		; 
kor-Kore-KR		; 
nld-Latn-NL		; 
nob-Latn-NO		; 
pes-Aran-IR		؛ 
por-Latn-PT		; 
rus-Cyrl-RU		; знамена́тель
spa-Latn-ES		; 
swe-Latn-SE		; 
tur-Latn-TR		; 
zxx-Zmth-ZZ		
